No.coal,Moisture_wt,Ash_wt,Volatile_Matter_wt,Fixed_Carbon_wt,HHV
1,47,7.3,25.8,20,11.47
2,43.6,13.9,23.1,19.4,10.36
3,43.5,11.4,22.7,22.4,11.78
4,37.7,7.9,27.8,26.6,14.56
5,43.6,14.2,8.9,33.2,10.5
6,21.9,24.5,25.4,28.2,14.02
7,32,19.1,23.4,25.6,13.3
8,27.2,17.7,25.7,29.5,14.87
9,16.8,12.5,31.6,39.2,19.56
10,37.4,11.8,28.2,22.6,13.98
11,43.6,17.7,20.3,18.3,9.81
12,42.9,8.2,24.7,24.2,12.85
13,19.4,28.9,23.8,28,14.13
14,35,12.5,24.9,27.7,14.15
15,34.2,15.1,24.7,26,13.68
16,32.9,14.8,22.9,29.4,14.38
17,19.9,23.8,26.6,29.7,14.95
18,20.3,20.5,27.6,31.6,16.06
19,21.2,22.8,23.9,32.2,14.84
20,25.3,11.8,23.8,39,16.68
21,26.3,7.5,34.2,32.1,17.47
22,37.9,19.8,22.9,19.3,11.31
23,15.5,36.6,22.4,25.5,12.8
24,22.5,37.8,20.6,19.1,9.99
25,23,39.1,20.5,17.4,9.37
26,20.6,17.7,29.2,32.5,17.26
27,16.4,38.2,21,25,12.44
28,6.1,32.4,22.6,38.9,20.34
29,27.1,12.3,28.9,31.6,16.72
30,20.6,12.5,31.9,35.1,19.16
31,20.9,16.8,29.2,33.1,18.13
32,36.8,12.5,27,23.7,11.93
33,20.4,31.4,26.5,21.8,11.65
34,11.2,24.3,33.1,31.5,17.74
35,26.1,20.8,29.7,23.4,14.55
36,29.5,39.4,22.3,8.9,6.4
37,26.2,11.1,32.4,30.3,17.17
38,35.4,19.5,27.8,17.3,11.07
39,12.4,38.9,29.7,19.1,12.5
40,17.2,5.8,34.4,42.7,21.81
41,6.7,48,9.1,36.2,14.53
42,15.9,27,32.6,24.5,15.23
43,18.6,23,32.8,25.6,14.53
44,27.6,10,30,32.5,18.48
45,20.3,15.2,31.7,32.8,16.82
46,40.9,18.3,26,14.7,9.84
47,28,16.8,35,20.1,13.28
48,38.1,12.4,28.2,21.3,12.45
49,20.6,17.7,29.2,32.5,17.26
50,16.4,38.2,21,25,12.44
